"Video Title","Channel","URL","Upload Date","Views","Subscribers","Views-to-Subscriber Ratio","Duration","Language","Thumbnail Text","Opening Hook","Main Claim","Evidence Used","Missing Context","Comment Themes","Reaction Potential","Recommendation","Agent Name"
"E20 Petrol Issues & Mileage Drop | This Fuel Conditioner Will Improve Mileage By Upto 20%","Mechanical Tech Hindi","https://www.youtube.com/watch?v=VBn7pf8rnMk","2026-02-18","13,114","1,570,000","0.84%","Not reliably visible","Hindi","Title-derived: E20 issues / mileage / up to 20%","Problem-solution hook: E20 mileage anxiety followed by an additive promise","A fuel conditioner can recover up to 20% mileage and address E20 issues","Presenter demonstration/claims; no controlled independent dataset identified","No model-specific compatibility proof; no blinded A/B fuel test; additive limitations","Mileage loss, old vehicles, quick fixes, trust","High","Challenge the universal additive claim; optional clip, use short quotation/screenshot with critique","Codex"
"India’s E20 Petrol Rollout – Latest Update!","MotorBeam","https://www.youtube.com/watch?v=i7XMrb8sRYc","2025-09-12","30,658","1,210,000","2.53%","Not reliably visible","English/Hindi","Title-derived: E20 rollout update","Urgent update for owners","Explains rollout, compatibility and consumer implications","Automotive reporting and policy references","Pre-dates the June–July 2026 controversy and latest nationwide/default phase","Compatibility, mileage, old vehicles","Medium","Reference for historical framing; not the primary current reaction target","Codex"
"ഇ 20 പെട്രോൾ / E20 petrol Malayalam explainer","Asianet News Malayalam","https://www.youtube.com/watch?v=Q8xX66oEvws","2025-08-28","133,167","11,500,000","1.16%","Not reliably visible","Malayalam","Title-derived: E20 petrol","Direct consumer warning/explainer framing","Explains E20 and vehicle/mileage questions","News presentation; source details not fully captured","Compatibility versus optimization and current 2026 developments","Malayalam concern about mileage and older vehicles","High","Reference as existing Malayalam coverage; Para Cast should add evidence hierarchy and current update","Codex"
"E20 petrol mandatory from April 2026","Kanak News","https://www.youtube.com/watch?v=Nb1xncbCOQw","2026-02-28","50,399","8,850,000","0.57%","Not reliably visible","Odia","Title-derived: mandatory from April 1","Deadline/mandate hook","Nationwide E20/RON 95 requirement begins April 2026","News report on government notification","Exact notification exceptions, vehicle-transition distinction and consumer cost","Deadline anxiety, availability, old vehicles","Medium","Reference policy deadline only after verifying the notification text","Codex"
"E20 Petrol Explained: 10 Biggest Myths vs Facts","NDTV","https://www.ndtv.com/video/e20-petrol-explained-10-biggest-myths-vs-facts-1124139","2026-07-07","Not reliably visible","Not reliably visible","","6:01","English/Hindi","Myths vs facts","Rapid myth-busting","Most viral E20 claims are exaggerated and in-spec fuel is safe","Government and automotive expert statements","Consumer choice, contract language, lifecycle trade-offs, individual diagnosis","Safety, mileage, warranty, distrust","High","Respond constructively: keep correct debunks, add missing consumer-cost and evidence caveats","Codex"
"E20 fuel: all you need to know about E20 petrol in India","NDTV","https://www.ndtv.com/video/e20-fuel-all-you-need-to-know-about-e20-petrol-in-india-what-is-e20-fuel-979801","2025 (exact date not captured)","Not reliably visible","Not reliably visible","","Not reliably visible","English/Hindi","E20 all you need to know","Beginner explainer","Defines E20 and policy benefits/risks","News research and expert commentary","Latest 2026 trigger and late-July consumer-choice campaign","Basic compatibility and mileage questions","Low-medium","Use as baseline only; current package should not react mainly to an older explainer","Codex"
"E20 Petrol in India: Pros, Cons and What It Means for Your Vehicle","The Indian Express","https://indianexpress.com/videos/news-video/e20-petrol-in-india-pros-cons-and-what-it-means-for-your-vehicle-e20-controversy/","2026 (exact date not captured)","Not reliably visible","Not reliably visible","","Not reliably visible","English","Pros / cons / your vehicle","Balanced impact question","E20 has national benefits and vehicle-specific trade-offs","News reporting and official sources","Model-by-model manual workflow and Kerala practicalities","Mileage, damage, policy","Medium-high","Reference for balance; Para Cast can add Malayalam, two-wheeler and compatibility workflow","Codex"
"India’s E20 Fuel Debate Explained: Facts, Myths & The Road To E100","The Times of India","https://timesofindia.indiatimes.com/videos/explainers/indias-e20-fuel-debate-explained-facts-myths-the-road-to-e100/amp_videoshow/132288568.cms","2026-07 (exact day not captured)","Not reliably visible","Not reliably visible","","Not reliably visible","English/Hindi","Facts, myths, road to E100","Future-fuel escalation hook","Frames E20 as one stage toward higher blends","News reporting and policy discussion","Government says no decision beyond E20; E100 needs flex-fuel vehicles","Future mandates, fear, compatibility","High","Challenge any implication that E100 is already decided; optional clip","Codex"
"E20 Fuel Debate Explained in 5 Minutes: How To Ensure Your Car or Bike Stays Safe","Mint","https://www.livemint.com/videos/e20-fuel-debate-explained-in-5-minutes-how-to-ensure-your-car-or-bike-stays-safe-11755609513664.html","2026-07-27","Not reliably visible","Not reliably visible","","5:00 (title-derived)","English/Hindi","E20 debate in 5 minutes / keep vehicle safe","Urgent practical-safety hook","Owners can reduce risk with compatibility and maintenance checks","Recent reporting and expert guidance","No universal storage interval; warranty evidence and fuel sampling workflow","What should I do now?","High","Complement rather than attack; add an evidence-backed Kerala checklist","Codex"
"Viral E20 Claims Trigger Govt Response; Toyota and Industry Experts Clarify","The Economic Times","https://economictimes.indiatimes.com/news/videos/viral-e20-claims-trigger-govt-response-toyota-and-industry-experts-also-issue-clarification/videoshow/132184285.cms","2026-07-04","Not reliably visible","Not reliably visible","","Not reliably visible","English/Hindi","Viral claims / government response","Authority-response hook","Industry experience contradicts catastrophic E20 claims","Government panel and manufacturer testimony","Industry participants’ interests; no independent long-duration fleet comparison","Trust in government vs owners","High","Use clips as official-side evidence, then test the strongest claims independently","Codex"
"Is E20 petrol reducing mileage and damaging vehicles?","Onmanorama","https://www.onmanorama.com/videos/news/news-beyond-kerala/2026/07/12/is-e-20-petrol-reducing-mileage-and-damaging-vehicles-onmanorama-explainer.html","2026-07-12","Not reliably visible","Not reliably visible","","Not reliably visible","Malayalam/English","Question-derived: mileage and damage","Direct Malayalam owner concern","Explains whether E20 causes mileage loss or damage","News explainer and cited official context","Consumer-choice economics, certification vs optimization, individual evidence chain","Malayali owner anxiety, mileage, old vehicles","Very high","Best Malayalam comparator; respond by adding the missing distinction and late-July update","Codex"
"Race with Brothers: Kon Jeetega (reported E20 mileage segment)","Sourav Joshi Vlogs","Original stable URL not captured; reported in https://www.ndtv.com/auto/youtuber-sourav-joshi-blames-e20-petrol-for-mileage-drop-mercedes-benz-issues-clarifications-11764630","2026-07-12","Not reliably visible","41,300,000 (reported)","","Not reliably visible","Hindi","Original thumbnail not captured","Personal luxury-SUV mileage shock: 17 to 9 to 5 km/l","E20 caused an extreme Mercedes mileage collapse","Dashboard observation and personal attribution","No fuel A/B control, diagnostic data or energy-content plausibility; later engine-issue backtrack","Strong anger, confirmation bias, arguments over E20","Very high","Primary reaction claim, but use only rights-cleared short excerpts or news screenshots; include the 2026-07-14 correction","Codex"
